,precision,recall,f1-score,support
glioma,0.984,0.8723404255319149,0.924812030075188,141.0
meningioma,0.8343949044585988,0.9290780141843972,0.8791946308724832,141.0
notumor,0.9637681159420289,0.9432624113475178,0.953405017921147,141.0
pituitary,0.9444444444444444,0.9645390070921985,0.9543859649122807,141.0
accuracy,0.9273049645390071,0.9273049645390071,0.9273049645390071,0.9273049645390071
macro avg,0.931651866211268,0.9273049645390071,0.9279494109452746,564.0
weighted avg,0.931651866211268,0.9273049645390071,0.9279494109452747,564.0
